time,temperature,pressure,altitude
0.12,23.53,1011.17,-0.04
0.34,23.6,1011.15,0.11
0.57,23.62,1011.14,0.06
0.79,23.64,1011.13,0.3
1.01,23.65,1011.12,0.01
1.23,23.66,1011.15,0.46
1.46,23.66,1011.15,0.28
1.68,23.66,1011.14,0.24
1.9,23.67,1011.17,0.21
2.12,23.67,1011.14,-0.19
2.34,23.67,1011.16,-0.07
2.56,23.67,1011.18,0.32
2.78,23.67,1011.16,-0.27
3.0,23.67,1011.16,0.16
3.23,23.67,1011.16,0.17
3.45,23.67,1011.16,0.16
3.67,23.68,1011.15,0.21
3.89,23.67,1011.15,0.2
4.11,23.68,1011.14,0.3
4.33,23.68,1011.11,0.49
